NO,item,date,bulding,phase,value_without_vat,ratio,comul_total_wihout_vat,com_Ratio,act_com_ratio,value,total
1,bill(1)-1,14/8/2021,"buldings  (7,6,5,4,3,2,1)",phase(1),1431505.6,2.95,1431505.6,2.95,3.10,1646231.44,1646231.44
2,bill(1)-2,9/15/2022,"buldings  (7,6,5,4,3,2,1)",phase(1),923551.00,1.90,2355056.6,4.84,5.10,1062083.65,2708315.09
3,bill(1)-3,10/7/2021,"buldings  (7,6,5,4,3,2,1)",phase(1),1847104,3.80,4202160.6,8.64,9.10,2124169.6,4832484.69
4,bill(1)-4,31/10/2021,"buldings  (7,6,5,4,3,2,1)",phase(1),2828378,5.82,7030538.6,14.46,15.22,3252634.7,8085119.39
5,bill(1)-5,12/1/2021,"buldings  (7,6,5,4,3,2,1)",phase(1),1127887.88,2.32,8158426.48,16.78,17.67,1297071.062,9382190.452
6,bill(1)-6,1/1/2022,"buldings  (7,6,5,4,3,2,1)",phase(1),497563.64,1.02,8655990.12,17.81,18.74,572198.186,9954388.638
7,bill(1)-7,2/3/2022,"buldings  (7,6,5,4,3,2,1)",phase(1),1294127.24,2.66,9950117.36,20.47,21.55,1488246.326,11442634.96
8,bill(1)-8,3/5/2022,"buldings  (7,6,5,4,3,2,1)",phase(1),1671629.12,3.44,11621746.48,23.91,25.17,1922373.488,13365008.45
9,bill(1)-9,3/3/2022,"buldings  (7,6,5,4,3,2,1)",phase(1),1019370.52,2.10,12641117,26.01,27.37,1172276.098,14537284.55
10,bill(1)-10,17/4/2022,"buldings  (7,6,5,4,3,2,1)",phase(1),1247949.64,2.57,13889066.64,28.57,30.08,1435142.086,15972426.64
11,bill(1)-11,5/14/2022,"buldings  (7,6,5,4,3,2,1)",phase(1),1333378.2,2.74,15222444.84,31.32,32.96,1533384.93,17505811.57
12,bill(1)-12,5/29/2022,"buldings  (7,6,5,4,3,2,1)",phase(1),771165.92,1.59,15993610.76,32.90,34.63,886840.808,18392652.37
13,bill(1)-13,6/22/2022,"buldings  (7,6,5,4,3,2,1)",phase(1),1050540.4,2.16,17044151.16,35.06,36.91,1208121.46,19600773.83
14,bill(1)-14,7/31/2022,"buldings  (7,6,5,4,3,2,1)",phase(1),2171501.64,4.47,19215652.8,39.53,41.61,2497226.886,22098000.72
15,bill(1)-15,14/9/2022,"buldings  (7,6,5,4,3,2,1)",phase(1),580798.76,1.19,19796451.56,40.73,42.87,667918.574,22765919.29
16,bill(1)-16,10/20/2022,"buldings  (7,6,5,4,3,2,1)",phase(1),1560456.55,3.21,21356908.11,43.94,46.25,1794525.033,24560444.33
17,bill(1)-17,10/31/2022,"buldings  (7,6,5,4,3,2,1)",phase(1),677656.28,1.39,22034564.39,45.33,47.72,779304.722,25339749.05
18,bill(1)-18,11/19/2022,"buldings  (7,6,5,4,3,2,1)",phase(1),990740.41,2.04,23025304.8,47.37,49.86,1139351.472,26479100.52
19,bill(1)-19,12/24/2022,"buldings  (7,6,5,4,3,2,1)",phase(1),1393409.08,2.87,24418713.88,50.24,52.88,1602420.442,28081520.96
20,bill(1)-20,1/31/2023,"buldings  (7,6,5,4,3,2,1)",phase(1),2026734.86,4.17,26445448.74,54.41,57.27,2330745.089,30412266.05
21,bill(1)-21,2/28/2023,"buldings  (7,6,5,4,3,2,1)",phase(1),1268036.9,2.61,27713485.64,57.01,60.01,1458242.435,31870508.49
22,bill(1)-22,3/25/2023,"buldings  (7,6,5,4,3,2,1)",phase(1),1025142.72,2.11,28738628.36,59.12,62.23,1178914.128,33049422.61
23,bill(1)-23,3/5/2024,"buldings  (7,6,5,4,3,2,1)",phase(1),906004.51,1.86,29644632.87,60.99,64.20,1041905.187,34091327.8
24,bill(1)-24,5/27/2023,"buldings  (7,6,5,4,3,2,1)",phase(1),884301.04,1.82,30528933.91,62.81,66.11,1016946.196,35108274
25,bill(1)-25,6/18/2023,"buldings  (7,6,5,4,3,2,1)",phase(1),2000875.41,4.12,32529809.32,66.92,70.44,2301006.722,37409280.72
26,bill(1)-26,6/29/2023,"buldings  (7,6,5,4,3,2,1)",phase(1),1763984.32,3.63,34293793.64,70.55,74.26,2028581.968,39437862.69
27,bill(1)-27,8/17/2022,"buldings  (7,6,5,4,3,2,1)",phase(1),990509.52,2.04,35284303.16,72.59,76.41,1139085.948,40576948.63
28,bill(1)-28,9/30/2023,"buldings  (7,6,5,4,3,2,1)",phase(1),2865320.08,5.89,38149623.24,78.48,82.61,3295118.092,43872066.73
29,bill(1)-29,8/11/2023,"buldings  (7,6,5,4,3,2,1)",phase(1),1082864.72,2.23,39232487.96,80.71,84.96,1245294.428,45117361.15
30,bill(1)-30,9/12/2023,"buldings  (7,6,5,4,3,2,1)",phase(1),564521.16,1.16,39797009.12,81.87,86.18,649199.334,45766560.49
